Project,Specification,Area,Value
Namo Vihar,1 BHK Residential Apartment in Hadapsar,512 sq.ft. (48 sq.m.) Carpet Area,"₹ 28 Lac₹ 5,468/sq.ft."
Mauli Apartment,1 BHK Residential Apartment in Hadapsar,581 sq.ft. (54 sq.m.) Built-up Area,"₹ 21 Lac₹ 4,301/sq.ft."
Gemini Housing,2 BHK Residential Apartment in Shewalewadi,946 sq.ft. (88 sq.m.) Built-up Area,"₹ 75 Lac₹ 7,928/sq.ft."
Shivshakti Villa,2 BHK Residential Apartment in Hadapsar,"1,200 sq.ft. (111 sq.m.) Built-up Area","₹ 40 Lac₹ 3,333/sq.ft."
irish Apartment,2 BHK Residential Apartment in Hadapsar,890 sq.ft. (83 sq.m.) Built-up Area,"₹ 85 Lac₹ 9,550/sq.ft."
Chetan heights,2 BHK Residential Apartment in Hadapsar,"1,113 sq.ft. (103 sq.m.) Super built-up Area","₹ 65 Lac₹ 5,840/sq.ft."
A V Bhat Etasha,1 BHK Residential Apartment in Hadapsar,562 sq.ft. (52 sq.m.) Super built-up Area,"₹ 30 Lac₹ 5,339/sq.ft."
Vidhate Complex,2 BHK Residential Apartment in Hadapsar,865 sq.ft. (80 sq.m.) Super built-up Area,"₹ 55 Lac₹ 6,358/sq.ft."
Hill Side,3 BHK Residential Apartment in Ramtekadi,"1,420 sq.ft. (132 sq.m.) Super built-up Area","₹ 80 Lac₹ 5,634/sq.ft."
Shri Nagari Society,1 BHK Residential Apartment in Hadapsar,605 sq.ft. (56 sq.m.) Built-up Area,"₹ 32 Lac₹ 5,785/sq.ft."
Greenwoods Housing Society,5 Bedroom Independent House in Manjari Budruk,"1,500 sq.ft. (139 sq.m.) Plot Area","₹ 1 Cr₹ 6,666/sq.ft."
Samartha Residence,1 BHK Residential Apartment in Manjari Budruk,563 sq.ft. (52 sq.m.) Super built-up Area,"₹ 18 Lac₹ 3,197/sq.ft."
Oricon Fortune Estates,2 BHK Residential Apartment in Hadapsar,"1,200 sq.ft. (111 sq.m.) Super built-up Area","₹ 70 Lac₹ 5,833/sq.ft."
,3 Bedroom Independent House in Hadapsar,"1,800 sq.ft. (167 sq.m.) Built-up Area","₹ 85 Lac₹ 4,722/sq.ft."
Ram India Sampanna Homes,2 BHK Residential Apartment in Manjri,"1,010 sq.ft. (94 sq.m.) Super built-up Area","₹ 53 Lac₹ 5,248/sq.ft."
Koyal Residency,1 BHK Residential Apartment in Hadapsar Gaon,856 sq.ft. (80 sq.m.) Carpet Area,"₹ 30 Lac₹ 3,504/sq.ft."
Koyal Apartments,1 BHK Residential Apartment in Hadapsar,856 sq.ft. (80 sq.m.) Carpet Area,"₹ 30 Lac₹ 3,504/sq.ft."
Dreams Aakruti,1 BHK Residential Apartment in Hadapsar,526 sq.ft. (49 sq.m.) Super built-up Area,"₹ 25 Lac₹ 5,482/sq.ft."
,2 BHK Independent Builder Floor in Manjari Budruk,803 sq.ft. (75 sq.m.) Built-up Area,"₹ 25 Lac₹ 3,113/sq.ft."
Kumar Kubera Sankul,3 BHK Residential Apartment in Malwadi,"1,370 sq.ft. (127 sq.m.) Carpet Area","₹ 1.05 Cr₹ 7,664/sq.ft."
