Project,Specification,Area,Value
Chourang Smit Shilp Housing Society,2 BHK Residential Apartment in Manjari Budruk,725 sq.ft. (67 sq.m.) Built-up Area,"₹ 45 Lac₹ 6,206/sq.ft."
Rahul East view,2 BHK Residential Apartment in Hadapsar,"1,200 sq.ft. (111 sq.m.) Super built-up Area","₹ 1 Cr₹ 8,333/sq.ft."
Dreams Aakruti,2 BHK Residential Apartment in Hadapsar,"1,060 sq.ft. (98 sq.m.) Super built-up Area","₹ 45 Lac₹ 4,245/sq.ft."
Shree Dhanlaxmi Krupa,2 BHK Residential Apartment in Hadapsar Gaon,900 sq.ft. (84 sq.m.) Super built-up Area,"₹ 41 Lac₹ 4,945/sq.ft."
Ambience Residency,3 BHK Residential Apartment in Hadapsar,975 sq.ft. (91 sq.m.) Carpet Area,"₹ 60 Lac₹ 6,500/sq.ft."
Magarpatta Annex,2 BHK Residential Apartment in Magarpatta,980 sq.ft. (91 sq.m.) Super built-up Area,"₹ 83 Lac₹ 8,469/sq.ft."
Sunrise CHS,1 BHK Residential Apartment in Hadapsar,615 sq.ft. (57 sq.m.) Super built-up Area,"₹ 30 Lac₹ 4,878/sq.ft."
Marvel Azure,2 BHK Residential Apartment in Magarpatta,"1,347 sq.ft. (125 sq.m.) Super built-up Area","₹ 1 Cr₹ 7,423/sq.ft."
Shivai Garden,1 BHK Residential Apartment in Hadapsar,650 sq.ft. (60 sq.m.) Super built-up Area,"₹ 27 Lac₹ 4,153/sq.ft."
Tucker AWHO Enclave,2 BHK Residential Apartment in Hadapsar,884 sq.ft. (82 sq.m.) Built-up Area,"₹ 61 Lac₹ 6,900/sq.ft."
Mantri Township,(1 RK) Studio Apartment in Hadapsar,350 sq.ft. (33 sq.m.) Built-up Area,"₹ 15 Lac₹ 4,285/sq.ft."
Venkatesh Sankul,2 BHK Independent Builder Floor in Manjari Budruk,890 sq.ft. (83 sq.m.) Super built-up Area,"₹ 35 Lac₹ 4,157/sq.ft."
Matoshri Apartment,1 BHK Residential Apartment in Shiv Malhar Colony,500 sq.ft. (46 sq.m.) Super built-up Area,"₹ 22 Lac₹ 4,400/sq.ft."
Bhosale Tupe Siddhi Vihar,1 BHK Residential Apartment in Hadapsar,572 sq.ft. (53 sq.m.) Built-up Area,"₹ 32 Lac₹ 5,594/sq.ft."
Soham Apartment,1 BHK Residential Apartment in Hadapsar,608 sq.ft. (56 sq.m.) Super built-up Area,"₹ 29 Lac₹ 4,606/sq.ft."
Vista Luxuria,1 BHK Residential Apartment in Manjari Budruk,650 sq.ft. (60 sq.m.) Built-up Area,"₹ 40 Lac₹ 6,369/sq.ft."
Dreams Elegance,2 BHK Residential Apartment in Hadapsar,725 sq.ft. (67 sq.m.) Carpet Area,"₹ 35 Lac₹ 4,827/sq.ft."
Omkar Colony,3 BHK Independent Builder Floor in Kale Padal,700 sq.ft. (65 sq.m.) Super built-up Area,"₹ 1 Cr₹ 14,285/sq.ft."
Magarpatta Annex,2 BHK Residential Apartment in Magarpatta,900 sq.ft. (84 sq.m.) Super built-up Area,"₹ 82 Lac₹ 8,444/sq.ft."
Manjri Green Woods,2 BHK Residential Apartment in Manjri,823 sq.ft. (76 sq.m.) Super built-up Area,"₹ 46 Lac₹ 5,589/sq.ft."
Mayur Geminus,1 BHK Residential Apartment in Hadapsar,494 sq.ft. (46 sq.m.) Super built-up Area,"₹ 30 Lac₹ 6,072/sq.ft."
More Heights,3 BHK Residential Apartment in Shewalewadi,"1,065 sq.ft. (99 sq.m.) Super built-up Area","₹ 52 Lac₹ 4,882/sq.ft."
Dreams Solace,2 BHK Residential Apartment in Satar Nagar,680 sq.ft. (63 sq.m.) Super built-up Area,"₹ 38 Lac₹ 5,588/sq.ft."
Magarpatta City Zinnia,1 BHK Residential Apartment in Magarpatta,550 sq.ft. (51 sq.m.) Super built-up Area,"₹ 47 Lac₹ 8,545/sq.ft."
DSK Sundarban Phase 1,2 BHK Residential Apartment in Hadapsar,980 sq.ft. (91 sq.m.) Super built-up Area,"₹ 60 Lac₹ 6,122/sq.ft."
